semel_yevuan,shem_yevuan,sug_degem,tozeret_cd,tozeret_nm,degem_cd,degem_nm,shnat_yitzur,mehir,kinuy_mishari
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,779,7HC-SGB1D2,2018,264200,T6 TRANSPORTER
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,781,7HC-SGB1F7,2018,279000,T6 TRANSPORTER
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,784,7HC-SGBTF7,2019,288000,CARAVELLE
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,784,7HC-SGBTF7,2018,288000,CARAVELLE
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,785,7HC-SGBTF7,2018,295500,CARAVELLE
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,787,7HC-SGJ1F7,2019,299300,T6 TRANSPORTER
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,787,7HC-SGJ1F7,2018,299300,T6 TRANSPORTER
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,796,7HC-SGMHH7,2018,440600,MULTIVAN
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,803,7HC-SGBTE2,2018,253000,CARAVELLE
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,803,7HC-SGBTE2,2019,253000,CARAVELLE
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,803,7HC-SGBTE2,2020,253000,CARAVELLE
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,805,7HC-SGBTF7,2018,299000,CARAVELLE
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,805,7HC-SGBTF7,2019,299000,CARAVELLE
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,807,7HC-SGJTF7,2020,358000,CARAVELLE
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,807,7HC-SGJTF7,2019,358000,CARAVELLE
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,807,7HC-SGJTF7,2018,384600,CARAVELLE
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,817,7HC-SGB1E2,2019,283200,T6 TRANSPORTER
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,817,7HC-SGB1E2,2018,283200,T6 TRANSPORTER
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,821,7HC-SGB1F7,2018,289300,T6 TRANSPORTER
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,821,7HC-SGB1F7,2019,289300,T6 TRANSPORTER
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,828,7HC-SGJTM7,2019,412000,CARAVELLE
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,833,7HC-SGJ1F7,2019,304800,T6 TRANSPORTER
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,838,7HC-SGMHF7,2019,410000,MULTIVAN
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,855,7HC-SHJTF7,2020,307000,CARAVELLE
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,865,7HC-SHBTF7,2020,266500,CARAVELLE
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,868,7HC-SHJTF7,2020,299000,CARAVELLE
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,876,7HC-SHJTF7,2020,393000,CARAVELLE
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,876,7HC-SHJTF7,2021,393000,CARAVELLE
130,דלק מוטורס,P,143,ב מ וו גרמניה,1018,7K31,2019,239000,118I
130,דלק מוטורס,P,143,ב מ וו גרמניה,1018,7K31,2020,239000,118I
130,דלק מוטורס,P,143,ב מ וו גרמניה,1020,4S31,2020,363000,420I
130,דלק מוטורס,P,143,ב מ וו גרמניה,1020,4S31,2019,363000,420I
130,דלק מוטורס,P,143,ב מ וו גרמניה,1022,4H31,2019,366000,420I
130,דלק מוטורס,P,143,ב מ וו גרמניה,1022,4H31,2020,366000,420I
331,קורן קובי,P,143,ב מ וו גרמניה,1090,JA91,2020,299000,530E I PER
331,קורן קובי,P,143,ב מ וו גרמניה,1090,JA91,2019,299000,530E I PER
130,דלק מוטורס,P,143,ב מ וו גרמניה,335,HS71,2016,277000,X1 SDRIVE 20I
130,דלק מוטורס,P,143,ב מ וו גרמניה,338,1J11,2016,292500,220I
130,דלק מוטורס,P,143,ב מ וו גרמניה,343,5A31,2016,381500,520I
130,דלק מוטורס,P,143,ב מ וו גרמניה,347,4A11,2016,355000,420I
130,דלק מוטורס,P,143,ב מ וו גרמניה,348,3R11,2016,464000,435I
130,דלק מוטורס,P,143,ב מ וו גרמניה,354,1M11,2016,406500,M235I
130,דלק מוטורס,P,143,ב מ וו גרמניה,356,6H11,2016,701000,640I
130,דלק מוטורס,P,143,ב מ וו גרמניה,406,1R51,2016,172000,118I
130,דלק מוטורס,P,143,ב מ וו גרמניה,420,8.00E+31,2016,230000,318I
130,דלק מוטורס,P,143,ב מ וו גרמניה,420,8.00E+31,2018,230000,318I
130,דלק מוטורס,P,143,ב מ וו גרמניה,420,8.00E+31,2017,230000,318I
130,דלק מוטורס,P,143,ב מ וו גרמניה,1145,7D61,2021,835000,745E
130,דלק מוטורס,P,143,ב מ וו גרמניה,1145,7D61,2020,835000,745E
130,דלק מוטורס,P,143,ב מ וו גרמניה,1155,BC41,2020,1300000,M850I XDRIVE
130,דלק מוטורס,P,143,ב מ וו גרמניה,1176,11AK,2021,259000,218I
130,דלק מוטורס,P,143,ב מ וו גרמניה,1176,11AK,2020,259000,218I
130,דלק מוטורס,P,143,ב מ וו גרמניה,1179,JF01,2020,1150000,M5
130,דלק מוטורס,P,143,ב מ וו גרמניה,436,8M91,2016,699000,M3
130,דלק מוטורס,P,143,ב מ וו גרמניה,463,8M91,2016,699000,M3
130,דלק מוטורס,P,143,ב מ וו גרמניה,465,1H91,2016,535000,M2
130,דלק מוטורס,P,143,ב מ וו גרמניה,468,6D01,2016,724000,640I
130,דלק מוטורס,P,143,ב מ וו גרמניה,468,6D01,2019,724000,640I
130,דלק מוטורס,P,143,ב מ וו גרמניה,468,6D01,2017,724000,640I
130,דלק מוטורס,P,143,ב מ וו גרמניה,468,6D01,2018,724000,640I
130,דלק מוטורס,P,143,ב מ וו גרמניה,483,8A71,2016,330000,330I
130,דלק מוטורס,P,143,ב מ וו גרמניה,492,7F01,2016,1060000,750LI
130,דלק מוטורס,P,143,ב מ וו גרמניה,510,8A71,2016,375000,330I
130,דלק מוטורס,P,143,ב מ וו גרמניה,510,8A71,2017,375000,330I
130,דלק מוטורס,P,143,ב מ וו גרמניה,529,6.00E+91,2016,1182000,M6
130,דלק מוטורס,P,143,ב מ וו גרמניה,529,6.00E+91,2017,1182000,M6
130,דלק מוטורס,P,143,ב מ וו גרמניה,540,7B01,2016,1055000,750I XDRIVE
130,דלק מוטורס,P,143,ב מ וו גרמניה,1317,5P51,2020,375000,330E
130,דלק מוטורס,P,143,ב מ וו גרמניה,1317,5P51,2021,390000,330E
130,דלק מוטורס,P,143,ב מ וו גרמניה,582,HU11,2016,297000,X1 SDRIVE 20D
130,דלק מוטורס,P,143,ב מ וו גרמניה,582,HU11,2017,300000,X1 SDRIVE 20D
130,דלק מוטורס,P,143,ב מ וו גרמניה,582,HU11,2018,300000,X1 SDRIVE 20D
130,דלק מוטורס,P,143,ב מ וו גרמניה,602,7F01,2016,1060000,750LI
130,דלק מוטורס,P,143,ב מ וו גרמניה,602,7F01,2018,1060000,750LI
130,דלק מוטורס,P,143,ב מ וו גרמניה,602,7F01,2017,1060000,750LI
130,דלק מוטורס,P,143,ב מ וו גרמניה,643,JA91,2017,420000,530E IPERFORMAN
130,דלק מוטורס,P,143,ב מ וו גרמניה,643,JA91,2018,420000,530E IPERFORMAN
130,דלק מוטורס,P,143,ב מ וו גרמניה,1338,7L11,2021,370000,M135I XDRIVE
130,דלק מוטורס,P,143,ב מ וו גרמניה,1358,31AA,2021,259000,X1 SDRIVE18I
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,897,7HC-SHBTF7,2020,309000,CARAVELLE
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,897,7HC-SHBTF7,2021,309000,CARAVELLE
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,898,7J0-SHA1F7,2021,239000,T6 TRANSPORTER
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,898,7J0-SHA1F7,2020,239000,T6 TRANSPORTER
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,901,7HC-SHJTM7,2020,415000,CARAVELLE
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,905,7HMA-SHCDF9,2020,355400,CALIFORNIA
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,911,7HC-SHBTE2,2020,266500,CARAVELLE
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,911,7HC-SHBTE2,2021,266500,CARAVELLE
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,464,2H-S1BC3A,2016,296000,AMAROK D. CAB
110,"צ'מפיון מוטורס בע""מ",M,301,פולקסווגן פולי,181,2KN-SAHAK5,2016,171000,CADDY MAXI D.V
110,"צ'מפיון מוטורס בע""מ",M,301,פולקסווגן פולי,181,2KN-SAHAK5,2017,170900,CADDY MAXI D.V
110,"צ'מפיון מוטורס בע""מ",M,301,פולקסווגן פולי,224,2KN-2CHA85,2016,170000,CADDY GP
110,"צ'מפיון מוטורס בע""מ",M,301,פולקסווגן פולי,233,7J0-SFD1B7,2016,299000,TRANSPORTER
110,"צ'מפיון מוטורס בע""מ",M,301,פולקסווגן פולי,233,7J0-SFD1B7,2017,297000,TRANSPORTER
110,"צ'מפיון מוטורס בע""מ",M,301,פולקסווגן פולי,246,2KN-SAHAK5,2018,176200,CADDY MAXI D.V
110,"צ'מפיון מוטורס בע""מ",M,301,פולקסווגן פולי,274,7J0-SJD1F7,2020,289000,T6 TRANSPORTER
110,"צ'מפיון מוטורס בע""מ",M,301,פולקסווגן פולי,274,7J0-SJD1F7,2021,289000,T6 TRANSPORTER
110,"צ'מפיון מוטורס בע""מ",M,301,פולקסווגן פולי,275,SYN1E-SYBB8B,2021,357318,CRAFTER 35
110,"צ'מפיון מוטורס בע""מ",M,301,פולקסווגן פולי,275,SYN1E-SYBB8B,2020,357318,CRAFTER 35
272,"כ.פ עומר קאר בע""מ",P,143,ב מ וו גרמניה,1052,JA91,2020,340000,530E I PER
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,687,7HC-SGJ1F1,2017,314800,T6  TRANSPORTER
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,691,7HC-SGJ1F7,2017,328300,T6 TRANSPORTER
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,692,7HC-SGB1F7,2017,318300,T6 TRANSPORTER
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,708,7HC-SGJ1F7,2017,337700,T6 TRANSPORTER
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,711,7HC-SGMHH7,2017,699000,MULTIVAN
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,712,7HC-SGB1E2,2017,283300,T6
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,723,7HC-SGJ1E2,2017,289800,T6 TRANSPORTER
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,725,7HC-SGMHH7,2018,454900,MULTIVAN
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,725,7HC-SGMHH7,2017,470400,MULTIVAN
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,763,2H-S6BC7A,2018,312500,AMAROK D.CAB
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,765,7HC-SGMHH7,2018,673000,MULTIVAN
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,767,7HC-SGJTF7,2018,355000,CARAVELLE
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,791,7HC-SGJTF7,2018,300500,CARAVELLE
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,794,7HC-SGJTF7,2018,373500,CARAVELLE
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,799,7HC-SGB1F7,2018,289300,T6 TRANSPORTER
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,813,7HC-SGJ1F7,2018,299300,T6 TRANSPORTER
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,813,7HC-SGJ1F7,2019,299300,T6 TRANSPORTER
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,813,7HC-SGJ1F7,2020,299300,T6 TRANSPORTER
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,815,7HC-SGBTF1,2018,364400,CARAVELLE
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,815,7HC-SGBTF1,2019,343000,CARAVELLE
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,818,7HC-SGMHF7,2018,434900,MULTIVAN
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,818,7HC-SGMHF7,2019,434900,MULTIVAN
130,דלק מוטורס,P,143,ב מ וו גרמניה,1358,31AA,2020,259000,X1 SDRIVE18I
130,דלק מוטורס,P,143,ב מ וו גרמניה,1359,31AA,2021,274000,X1 SDRIVE18I
130,דלק מוטורס,P,143,ב מ וו גרמניה,1359,31AA,2020,274000,X1 SDRIVE18I
130,דלק מוטורס,P,143,ב מ וו גרמניה,1360,11AP,2021,425000,420I
130,דלק מוטורס,P,143,ב מ וו גרמניה,1404,81CH,2021,1150000,M5
130,דלק מוטורס,P,143,ב מ וו גרמניה,1409,7K31,2021,243900,118I
130,דלק מוטורס,P,143,ב מ וו גרמניה,685,HS11,2018,255000,X1 SDRIVE 18I
130,דלק מוטורס,P,143,ב מ וו גרמניה,685,HS11,2017,255000,X1 SDRIVE 18I
130,דלק מוטורס,P,143,ב מ וו גרמניה,687,HS71,2017,280000,X1 SDRIVE 20I
130,דלק מוטורס,P,143,ב מ וו גרמניה,687,HS71,2018,280000,X1 SDRIVE 20I
130,דלק מוטורס,P,143,ב מ וו גרמניה,692,8.00E+31,2018,230000,318I
130,דלק מוטורס,P,143,ב מ וו גרמניה,692,8.00E+31,2017,230000,318I
130,דלק מוטורס,P,143,ב מ וו גרמניה,708,1S31,2018,263000,125I
130,דלק מוטורס,P,143,ב מ וו גרמניה,708,1S31,2017,263000,125I
130,דלק מוטורס,P,143,ב מ וו גרמניה,708,1S31,2019,268500,125I
130,דלק מוטורס,P,143,ב מ וו גרמניה,712,1R51,2017,175000,118I
130,דלק מוטורס,P,143,ב מ וו גרמניה,712,1R51,2018,175000,118I
402,"דוד ויונתן מוטורס בע""מ",P,143,ב מ וו גרמניה,1050,JA91,2020,360000,530E I PER
402,"דוד ויונתן מוטורס בע""מ",P,143,ב מ וו גרמניה,1050,JA91,2019,375000,530E I PER
130,דלק מוטורס,P,143,ב מ וו גרמניה,349,7A81,2016,1015000,750I
130,דלק מוטורס,P,143,ב מ וו גרמניה,375,5A51,2016,446000,528I
130,דלק מוטורס,P,143,ב מ וו גרמניה,399,7.00E+21,2016,935000,740LI
130,דלק מוטורס,P,143,ב מ וו גרמניה,416,3X11,2016,329000,320I
130,דלק מוטורס,P,143,ב מ וו גרמניה,419,8A71,2016,330000,330I
130,דלק מוטורס,P,143,ב מ וו גרמניה,423,3V11,2016,395500,420I
130,דלק מוטורס,P,143,ב מ וו גרמניה,1126,71AA,2020,299000,X1 SDRIVE20I
130,דלק מוטורס,P,143,ב מ וו גרמניה,1126,71AA,2021,299000,X1 SDRIVE20I
130,דלק מוטורס,P,143,ב מ וו גרמניה,1168,GV81,2020,1280000,M850I XDRIVE
130,דלק מוטורס,P,143,ב מ וו גרמניה,1168,GV81,2021,1280000,M850I XDRIVE
130,דלק מוטורס,P,143,ב מ וו גרמניה,1178,7K31,2020,199000,118I
130,דלק מוטורס,P,143,ב מ וו גרמניה,440,1U91,2016,238000,125I
130,דלק מוטורס,P,143,ב מ וו גרמניה,450,4B11,2016,476000,435I
130,דלק מוטורס,P,143,ב מ וו גרמניה,467,1J71,2016,344000,M235I
130,דלק מוטורס,P,143,ב מ וו גרמניה,470,1Y71,2016,314500,M135I
130,דלק מוטורס,P,143,ב מ וו גרמניה,480,3R91,2016,679000,M4
130,דלק מוטורס,P,143,ב מ וו גרמניה,503,8.00E+31,2016,267000,318I
130,דלק מוטורס,P,143,ב מ וו גרמניה,503,8.00E+31,2017,267000,318I
130,דלק מוטורס,P,143,ב מ וו גרמניה,504,8A11,2016,277000,320I
130,דלק מוטורס,P,143,ב מ וו גרמניה,505,8A11,2016,302000,320I
130,דלק מוטורס,P,143,ב מ וו גרמניה,517,4N31,2016,343000,420I
130,דלק מוטורס,P,143,ב מ וו גרמניה,524,4D31,2016,355000,420I
130,דלק מוטורס,P,143,ב מ וו גרמניה,524,4D31,2017,364500,420I
130,דלק מוטורס,P,143,ב מ וו גרמניה,527,7A81,2016,1015000,750I
130,דלק מוטורס,P,143,ב מ וו גרמניה,533,7F01,2016,1060000,750LI
130,דלק מוטורס,P,143,ב מ וו גרמניה,535,7F01,2016,1060000,750LI
130,דלק מוטורס,P,143,ב מ וו גרמניה,542,7B01,2016,1055000,750I XDRIVE
130,דלק מוטורס,P,143,ב מ וו גרמניה,545,7B01,2016,1055000,750I XDRIVE
331,קורן קובי,P,143,ב מ וו גרמניה,1216,FY41,2020,685000,M850I XDRIVE
130,דלק מוטורס,P,143,ב מ וו גרמניה,1229,11AK,2021,264000,218I
130,דלק מוטורס,P,143,ב מ וו גרמניה,1229,11AK,2020,264000,218I
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,822,7HC-SGJTM7,2018,501400,CARAVELLE
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,822,7HC-SGJTM7,2019,492000,CARAVELLE
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,830,7HC-SGBTF7,2020,295500,CARAVELLE
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,830,7HC-SGBTF7,2021,295000,CARAVELLE
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,830,7HC-SGBTF7,2019,295500,CARAVELLE
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,832,7HC-SGBTM7,2019,399000,CARAVELLE
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,844,7HC-SGJ1F1,2019,339300,T6 TRANSPORTER
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,849,7HC-SGB1E2,2019,268300,T6 TRANSPORTER
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,849,7HC-SGB1E2,2020,268300,T6 TRANSPORTER
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,871,7HC-SHJTF7,2020,393000,CARAVELLE
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,871,7HC-SHJTF7,2021,393000,CARAVELLE
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,874,7HC-SHBTE2,2020,266500,CARAVELLE
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,879,7HC-SHJTF7,2020,390000,CARAVELLE
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,886,2H-S6BC8A,2020,279900,AMAROK D.CAB
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,888,7HC-SHJTM7,2020,465000,CARAVELLE
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,889,7HC-SHJTM7,2020,465000,CARAVELLE
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,892,7J0-SHA1F7,2020,254000,T6 TRANSPORTER
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,893,7HC-SHBTM7,2020,440000,CARAVELLE
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,899,7HC-SHJTF7,2020,306500,CARAVELLE
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,899,7HC-SHJTF7,2021,306500,CARAVELLE
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,912,7HC-SHBTF7,2021,301500,CARAVELLE
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,912,7HC-SHBTF7,2020,301500,CARAVELLE
110,"צ'מפיון מוטורס בע""מ",M,301,פולקסווגן פולי,229,2KN-SAHAK5,2017,176200,CADDY MAXI D.V
110,"צ'מפיון מוטורס בע""מ",M,301,פולקסווגן פולי,229,2KN-SAHAK5,2016,176500,CADDY MAXI D.V
110,"צ'מפיון מוטורס בע""מ",M,301,פולקסווגן פולי,236,2K-SABT22,2016,155900,CADDY
110,"צ'מפיון מוטורס בע""מ",M,301,פולקסווגן פולי,248,2KN-SAHA22,2019,152900,CADDY MAXI
110,"צ'מפיון מוטורס בע""מ",M,301,פולקסווגן פולי,248,2KN-SAHA22,2018,152900,CADDY MAXI
110,"צ'מפיון מוטורס בע""מ",M,301,פולקסווגן פולי,256,SYN1E-SYBB8B,2020,345150,CRAFTER 35
110,"צ'מפיון מוטורס בע""מ",M,301,פולקסווגן פולי,256,SYN1E-SYBB8B,2019,345150,CRAFTER 35
110,"צ'מפיון מוטורס בע""מ",M,301,פולקסווגן פולי,259,2KN-SAHA22,2020,152000,CADDY MAXI
110,"צ'מפיון מוטורס בע""מ",M,301,פולקסווגן פולי,264,7J0-SJD1F7,2020,289000,T6 TRANSPORTER
110,"צ'מפיון מוטורס בע""מ",M,301,פולקסווגן פולי,269,SYN1E-SYBB8B,2020,350833,CRAFTER 35
110,"צ'מפיון מוטורס בע""מ",M,301,פולקסווגן פולי,269,SYN1E-SYBB8B,2021,350883,CRAFTER 35
486,אלכסנדר חאיט,P,143,ב מ וו גרמניה,1029,JA91,2019,330000,530E I PER
486,אלכסנדר חאיט,P,143,ב מ וו גרמניה,1029,JA91,2020,330000,530E I PER
405,"מאי מוטורס )5102( בע""מ",P,143,ב מ וו גרמניה,1184,5X71,2020,285000,330E
405,"מאי מוטורס )5102( בע""מ",P,143,ב מ וו גרמניה,1185,5X71,2020,270000,330E
401,סבח מוצרי תעבורה,P,143,ב מ וו גרמניה,1256,DZ01,2021,950000,M8 COMPETITION
401,סבח מוצרי תעבורה,P,143,ב מ וו גרמניה,1256,DZ01,2020,950000,M8 COMPETITION
134,קבוצת עמק איילון,P,143,ב מ וו גרמניה,1282,5X71,2020,315000,330E
134,קבוצת עמק איילון,P,143,ב מ וו גרמניה,738,JA91,2018,420000,530E
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,655,7HC-SGJ1F1,2016,321300,TRANSPORTER
110,"צ'מפיון מוטורס בע""מ",M,724,פולקסווגן גרמנ,655,7HC-SGJ1F1,2017,309300,TRANSPORTER
130,דלק מוטורס,P,143,ב מ וו גרמניה,1260,1J31,2020,900000,M2 CS
624,"אוטו פרימיום סי.אר.אס בע""מ",P,143,ב מ וו גרמניה,1318,11AG,2020,420000,530E
624,"אוטו פרימיום סי.אר.אס בע""מ",P,143,ב מ וו גרמניה,1318,11AG,2021,420000,530E
130,דלק מוטורס,P,143,ב מ וו גרמניה,556,1R51,2017,180000,118I
130,דלק מוטורס,P,143,ב מ וו גרמניה,556,1R51,2016,180000,118I
130,דלק מוטורס,P,143,ב מ וו גרמניה,567,1L71,2016,296500,220I
130,דלק מוטורס,P,143,ב מ וו גרמניה,567,1L71,2017,296500,220I
130,דלק מוטורס,P,143,ב מ וו גרמניה,568,1L71,2016,334000,220I
130,דלק מוטורס,P,143,ב מ וו גרמניה,568,1L71,2017,334000,220I
130,דלק מוטורס,P,143,ב מ וו גרמניה,570,1S91,2016,319500,M140I
130,דלק מוטורס,P,143,ב מ וו גרמניה,570,1S91,2017,319500,M140I
130,דלק מוטורס,P,143,ב מ וו גרמניה,588,HS91,2018,300000,X1 XDRIVE 20I
130,דלק מוטורס,P,143,ב מ וו גרמניה,588,HS91,2016,297000,X1 XDRIVE 20I
130,דלק מוטורס,P,143,ב מ וו גרמניה,588,HS91,2017,300000,X1 XDRIVE 20I
130,דלק מוטורס,P,143,ב מ וו גרמניה,603,8A11,2016,325000,320I
130,דלק מוטורס,P,143,ב מ וו גרמניה,603,8A11,2017,325000,320I
130,דלק מוטורס,P,143,ב מ וו גרמניה,615,7F01,2018,1060000,750LI
130,דלק מוטורס,P,143,ב מ וו גרמניה,615,7F01,2017,1060000,750LI
130,דלק מוטורס,P,143,ב מ וו גרמניה,616,JB31,2017,620000,540I
130,דלק מוטורס,P,143,ב מ וו גרמניה,616,JB31,2018,620000,540I
130,דלק מוטורס,P,143,ב מ וו גרמניה,616,JB31,2019,620000,540I
130,דלק מוטורס,P,143,ב מ וו גרמניה,618,7D01,2018,690000,740E IPERFORMAN
